Doenca,Ano,Mes,Cod_UF,Casos,Obitos
Chikungunya,2016,1,11,39,0
Chikungunya,2016,1,12,12,0
Chikungunya,2016,1,13,14,0
Chikungunya,2016,1,14,1,0
Chikungunya,2016,1,15,83,0
Chikungunya,2016,1,17,71,0
Chikungunya,2016,1,21,171,0
Chikungunya,2016,1,22,3,0
Chikungunya,2016,1,23,35,0
Chikungunya,2016,1,24,240,0
Chikungunya,2016,1,25,67,1
Chikungunya,2016,1,26,7705,10
Chikungunya,2016,1,27,696,0
Chikungunya,2016,1,28,474,0
Chikungunya,2016,1,29,3060,0
Chikungunya,2016,1,31,106,1
Chikungunya,2016,1,32,27,0
Chikungunya,2016,1,33,100,0
Chikungunya,2016,1,35,487,0
Chikungunya,2016,1,41,44,0
Chikungunya,2016,1,42,33,0
Chikungunya,2016,1,43,14,0
Chikungunya,2016,1,50,49,0
Chikungunya,2016,1,51,109,0
Chikungunya,2016,1,52,28,0
Chikungunya,2016,1,53,48,0
Chikungunya,2016,2,11,115,0
Chikungunya,2016,2,12,40,0
Chikungunya,2016,2,13,26,0
Chikungunya,2016,2,15,159,0
Chikungunya,2016,2,16,12,0
Chikungunya,2016,2,17,107,0
Chikungunya,2016,2,21,496,0
Chikungunya,2016,2,22,17,1
Chikungunya,2016,2,23,174,1
Chikungunya,2016,2,24,2509,10
Chikungunya,2016,2,25,490,3
Chikungunya,2016,2,26,12324,24
Chikungunya,2016,2,27,1287,0
Chikungunya,2016,2,28,1849,0
Chikungunya,2016,2,29,13067,4
Chikungunya,2016,2,31,226,0
Chikungunya,2016,2,32,24,0
Chikungunya,2016,2,33,296,0
Chikungunya,2016,2,35,864,0
Chikungunya,2016,2,41,94,0
Chikungunya,2016,2,42,60,0
Chikungunya,2016,2,43,25,0
Chikungunya,2016,2,50,77,0
Chikungunya,2016,2,51,157,0
Chikungunya,2016,2,52,45,0
Chikungunya,2016,2,53,95,0
Chikungunya,2016,3,11,119,0
Chikungunya,2016,3,12,52,0
Chikungunya,2016,3,13,55,0
Chikungunya,2016,3,14,5,0
Chikungunya,2016,3,15,171,0
Chikungunya,2016,3,16,33,0
Chikungunya,2016,3,17,80,0
Chikungunya,2016,3,21,1761,3
Chikungunya,2016,3,22,88,0
Chikungunya,2016,3,23,1250,0
Chikungunya,2016,3,24,6640,23
Chikungunya,2016,3,25,2114,7
Chikungunya,2016,3,26,10681,28
Chikungunya,2016,3,27,2128,1
Chikungunya,2016,3,28,2113,1
Chikungunya,2016,3,29,18188,0
Chikungunya,2016,3,31,409,0
Chikungunya,2016,3,32,79,0
Chikungunya,2016,3,33,1574,1
Chikungunya,2016,3,35,942,0
Chikungunya,2016,3,41,274,0
Chikungunya,2016,3,42,125,0
Chikungunya,2016,3,43,42,0
Chikungunya,2016,3,50,33,0
Chikungunya,2016,3,51,92,0
Chikungunya,2016,3,52,64,0
Chikungunya,2016,3,53,102,0
Chikungunya,2016,4,11,118,0
Chikungunya,2016,4,12,76,0
Chikungunya,2016,4,13,155,0
Chikungunya,2016,4,14,4,0
Chikungunya,2016,4,15,223,0
Chikungunya,2016,4,16,30,0
Chikungunya,2016,4,17,97,0
Chikungunya,2016,4,21,4808,6
Chikungunya,2016,4,22,638,0
Chikungunya,2016,4,23,4254,3
Chikungunya,2016,4,24,5608,16
Chikungunya,2016,4,25,4008,2
Chikungunya,2016,4,26,8401,14
Chikungunya,2016,4,27,2793,0
Chikungunya,2016,4,28,1977,0
Chikungunya,2016,4,29,8724,0
Chikungunya,2016,4,31,349,0
Chikungunya,2016,4,32,55,0
Chikungunya,2016,4,33,5403,4
Chikungunya,2016,4,35,474,1
Chikungunya,2016,4,41,168,0
Chikungunya,2016,4,42,71,0
Chikungunya,2016,4,43,37,0
Chikungunya,2016,4,50,36,0
Chikungunya,2016,4,51,68,0
Chikungunya,2016,4,52,68,0
Chikungunya,2016,4,53,119,0
Chikungunya,2016,5,11,104,0
Chikungunya,2016,5,12,71,0
Chikungunya,2016,5,13,200,0
Chikungunya,2016,5,14,20,0
Chikungunya,2016,5,15,487,0
Chikungunya,2016,5,16,138,0
Chikungunya,2016,5,17,340,0
Chikungunya,2016,5,21,3721,8
Chikungunya,2016,5,22,917,1
Chikungunya,2016,5,23,11819,7
Chikungunya,2016,5,24,4577,5
Chikungunya,2016,5,25,5769,6
Chikungunya,2016,5,26,4758,8
Chikungunya,2016,5,27,3900,6
Chikungunya,2016,5,28,936,0
Chikungunya,2016,5,29,4484,1
Chikungunya,2016,5,31,276,0
Chikungunya,2016,5,32,73,0
Chikungunya,2016,5,33,5208,4
Chikungunya,2016,5,35,451,0
Chikungunya,2016,5,41,115,0
Chikungunya,2016,5,42,59,0
Chikungunya,2016,5,43,36,0
Chikungunya,2016,5,50,29,0
Chikungunya,2016,5,51,59,0
Chikungunya,2016,5,52,55,1
Chikungunya,2016,5,53,125,0
Chikungunya,2016,6,11,66,0
Chikungunya,2016,6,12,35,0
Chikungunya,2016,6,13,114,0
Chikungunya,2016,6,14,27,0
Chikungunya,2016,6,15,436,0
Chikungunya,2016,6,16,145,0
Chikungunya,2016,6,17,344,0
Chikungunya,2016,6,21,1325,3
Chikungunya,2016,6,22,492,0
Chikungunya,2016,6,23,12980,11
Chikungunya,2016,6,24,2526,4
Chikungunya,2016,6,25,3657,6
Chikungunya,2016,6,26,2746,4
Chikungunya,2016,6,27,3422,1
Chikungunya,2016,6,28,656,0
Chikungunya,2016,6,29,2723,0
Chikungunya,2016,6,31,71,0
Chikungunya,2016,6,32,36,0
Chikungunya,2016,6,33,2789,4
Chikungunya,2016,6,35,257,0
