Cod_UF,PeriodoInicial,PeriodoFinal,Meses,CasosPeriodo,MediaMensal,InclinacaoMensal,VariacaoMensalRelativa,R2,Tendencia
11,2024-07-01,2026-06-01,24,100,4.1667,0.02,0.0048,0.000704,Estável
12,2024-07-01,2026-06-01,24,95,3.9583,-0.093478,-0.023616,0.054925,Decrescente
13,2024-07-01,2026-06-01,24,71,2.9583,-0.057826,-0.019547,0.048702,Estável
14,2024-07-01,2026-06-01,24,28,1.1667,-0.049565,-0.042484,0.090167,Decrescente
15,2024-07-01,2026-06-01,24,166,6.9167,0.035652,0.005155,0.003417,Estável
16,2024-07-01,2026-06-01,24,132,5.5,-0.963478,-0.175178,0.369389,Decrescente
17,2024-07-01,2026-06-01,24,288,12.0,1.750435,0.14587,0.279165,Crescente
21,2024-07-01,2026-06-01,24,378,15.75,0.256522,0.016287,0.041477,Estável
22,2024-07-01,2026-06-01,24,35,1.4583,-0.040435,-0.027727,0.01881,Decrescente
23,2024-07-01,2026-06-01,24,177,7.375,0.576957,0.078231,0.195748,Crescente
24,2024-07-01,2026-06-01,24,1213,50.5417,-0.642174,-0.012706,0.016101,Estável
25,2024-07-01,2026-06-01,24,49,2.0417,-0.17,-0.083265,0.44338,Decrescente
26,2024-07-01,2026-06-01,24,272,11.3333,0.24087,0.021253,0.025908,Crescente
27,2024-07-01,2026-06-01,24,116,4.8333,0.122609,0.025367,0.058936,Crescente
28,2024-07-01,2026-06-01,24,19,0.7917,0.067391,0.085126,0.174336,Crescente
29,2024-07-01,2026-06-01,24,600,25.0,-1.186087,-0.047443,0.319349,Decrescente
31,2024-07-01,2026-06-01,24,101,4.2083,0.16913,0.040189,0.119206,Crescente
32,2024-07-01,2026-06-01,24,40,1.6667,0.113043,0.067826,0.085772,Crescente
33,2024-07-01,2026-06-01,24,3,0.125,0.003043,0.024348,0.004058,Crescente
35,2024-07-01,2026-06-01,24,56,2.3333,-0.110435,-0.047329,0.09785,Decrescente
41,2024-07-01,2026-06-01,24,17,0.7083,0.078696,0.1111,0.120796,Crescente
42,2024-07-01,2026-06-01,24,12,0.5,0.003478,0.006957,0.001159,Estável
43,2024-07-01,2026-06-01,24,10,0.4167,0.022609,0.054261,0.049675,Crescente
50,2024-07-01,2026-06-01,24,382,15.9167,-0.576522,-0.036221,0.018458,Decrescente
51,2024-07-01,2026-06-01,24,1729,72.0417,-2.346522,-0.032572,0.043751,Decrescente
52,2024-07-01,2026-06-01,24,131,5.4583,-0.331739,-0.060777,0.168754,Decrescente
53,2024-07-01,2026-06-01,24,9,0.375,-0.001304,-0.003478,0.000144,Estável
