Cod_UF,Ano,Mes,Casos
11,2024,7,1
11,2024,12,1
11,2025,1,3
11,2025,2,3
11,2025,3,23
11,2025,4,8
11,2025,5,15
11,2025,6,6
11,2025,7,7
11,2025,8,3
11,2025,9,6
11,2025,10,2
11,2025,11,4
11,2026,1,3
11,2026,2,4
11,2026,3,7
11,2026,4,2
11,2026,5,2
12,2024,7,3
12,2024,8,7
12,2024,9,5
12,2024,10,6
12,2024,11,2
12,2024,12,6
12,2025,1,7
12,2025,2,6
12,2025,3,8
12,2025,4,2
12,2025,5,1
12,2025,6,2
12,2025,7,2
12,2025,8,4
12,2025,9,6
12,2025,10,5
12,2025,11,1
12,2025,12,1
12,2026,2,1
12,2026,3,3
12,2026,4,7
12,2026,5,10
13,2024,7,5
13,2024,8,3
13,2024,9,4
13,2024,10,4
13,2024,11,2
13,2024,12,2
13,2025,1,4
13,2025,2,3
13,2025,3,3
13,2025,4,2
13,2025,5,1
13,2025,6,5
13,2025,7,2
13,2025,9,6
13,2025,10,8
13,2025,11,1
13,2025,12,3
13,2026,1,2
13,2026,2,2
13,2026,3,4
13,2026,4,2
13,2026,5,3
14,2024,7,3
14,2024,8,3
14,2024,10,1
14,2024,11,1
14,2024,12,2
14,2025,1,1
14,2025,2,2
14,2025,4,1
14,2025,5,1
14,2025,8,2
14,2025,9,4
14,2025,10,2
14,2025,11,1
14,2026,2,2
14,2026,3,2
15,2024,7,7
15,2024,8,16
15,2024,9,5
15,2024,10,2
15,2024,11,9
15,2024,12,5
15,2025,1,2
15,2025,2,7
15,2025,3,8
15,2025,4,12
15,2025,5,4
15,2025,6,7
15,2025,7,5
15,2025,8,4
15,2025,9,4
15,2025,10,7
15,2025,11,7
15,2025,12,1
15,2026,1,6
15,2026,2,8
15,2026,3,12
15,2026,4,11
15,2026,5,17
16,2024,7,39
16,2024,8,42
16,2024,9,14
16,2024,10,8
16,2024,11,2
16,2024,12,2
16,2025,1,3
16,2025,2,4
16,2025,3,2
16,2025,4,3
16,2025,5,2
16,2025,6,1
16,2025,7,1
16,2025,8,1
16,2025,11,2
16,2026,2,1
16,2026,3,3
16,2026,4,2
17,2024,7,2
17,2024,8,2
17,2024,9,1
17,2024,10,1
17,2024,11,3
17,2024,12,6
17,2025,1,12
17,2025,2,6
17,2025,3,3
17,2025,5,1
17,2025,7,2
17,2025,8,1
17,2025,9,1
17,2025,10,3
17,2025,11,6
17,2025,12,7
17,2026,1,2
17,2026,2,13
17,2026,3,72
17,2026,4,74
17,2026,5,70
21,2024,7,18
21,2024,8,13
21,2024,9,13
21,2024,10,7
21,2024,11,18
21,2024,12,14
21,2025,1,11
21,2025,2,11
21,2025,3,11
21,2025,4,10
21,2025,5,18
21,2025,6,14
21,2025,7,30
21,2025,8,25
21,2025,9,18
21,2025,10,13
21,2025,11,8
21,2025,12,16
21,2026,1,10
21,2026,2,13
21,2026,3,21
21,2026,4,46
21,2026,5,20
22,2024,7,2
22,2024,9,2
22,2024,12,1
22,2025,2,2
22,2025,3,3
22,2025,4,8
22,2025,5,2
22,2025,6,5
22,2025,9,5
22,2025,10,1
22,2025,12,1
22,2026,3,3
23,2024,7,5
23,2024,8,2
23,2024,9,8
23,2024,10,3
23,2024,11,2
23,2024,12,1
23,2025,1,1
23,2025,2,2
23,2025,3,4
23,2025,4,5
23,2025,5,8
23,2025,6,6
23,2025,7,5
23,2025,8,16
23,2025,9,12
23,2025,10,4
23,2025,11,6
23,2025,12,4
23,2026,1,1
23,2026,2,8
23,2026,3,13
23,2026,4,16
23,2026,5,45
24,2024,7,69
24,2024,8,50
24,2024,9,32
24,2024,10,23
24,2024,11,23
24,2024,12,14
24,2025,1,25
24,2025,2,62
24,2025,3,141
24,2025,4,129
24,2025,5,77
24,2025,6,46
24,2025,7,74
24,2025,8,82
